Corpus Christi_Texas;2028;325733;161
Corvallis_Oregon;4042;5711;14
Costa Mesa_California;7209;112822;16
Council Bluffs_Iowa;1526;62524;41
Cranston_Rhode Island;2859;81034;28
Cupertino_California;5386;60643;11
Dallas_Texas;387;1317929;341
Daly City_California;139;106472;8
Danbury_Connecticut;2029;84992;42
Davenport_Iowa;163;102612;63
Davie_Florida;292;101871;35
Davis_California;6887;68111;10
Dayton_Ohio;2525;140489;56
Daytona Beach_Florida;1141;66645;58
Dearborn Heights_Michigan;475;55761;12
Dearborn_Michigan;3899;94444;24
Decatur_Alabama;1026;55072;54
Decatur_Illinois;1722;72706;42
Deerfield Beach_Florida;5286;79764;15
Delano_California;3686;52707;14
Delray Beach_Florida;4261;67371;16
Deltona_Florida;2401;90124;38
Denton_Texas;1521;133808;88
Denver_Colorado;453;69306;153
Des Moines_Iowa;2664;215472;81
Des Plaines_Illinois;4071;58141;14
DeSoto_Texas;2433;52599;22
Detroit_Michigan;4849;672795;139
Diamond Bar_California;3817;56793;15
Doral_Florida;4175;57947;14
Dothan_Alabama;766;68468;89
Downey_California;9127;113267;12
Dublin_California;3996;59583;15
Dubuque_Iowa;1953;58531;30
Duluth_Minnesota;1273;86293;68
Durham_North Carolina;245;263016;107
Eagan_Minnesota;2135;66428;31
East Orange_New Jersey;16528;64789;4
Eastvale_California;5359;61151;11
Eau Claire_Wisconsin;2133;68339;32
Eden Prairie_Minnesota;197;63914;32
Edina_Minnesota;3324;5135;15
Edinburg_Texas;2329;8765;38
Edmond_Oklahoma;1077;91191;85
El Cajon_California;7191;103768;14
El Monte_California;12114;115807;10
El Paso_Texas;2676;68308;255
Elgin_Illinois;3017;112123;37
Elizabeth_New Jersey;10442;12864;12
Elk Grove_California;4023;169743;42
Elkhart_Indiana;2227;52221;23
Elyria_Ohio;2611;53715;21
Encinitas_California;3356;63131;19
Enid_Oklahoma;692;51004;74
Erie_Pennsylvania;5167;98593;19
Escondido_California;4119;151613;37
Eugene_Oregon;381;166575;44
Euless_Texas;3379;54769;16
Evanston_Illinois;9627;74895;8
Evansville_Indiana;2706;119477;44
Everett_Washington;326;109043;33
Fairfield_California;3069;114756;37
Fall River_Massachusetts;2684;8893;33
Fargo_North Dakota;2474;120762;49
Farmington Hills_Michigan;2438;81129;33
Fayetteville_Arkansas;1557;83826;54
Fayetteville_North Carolina;1404;204759;146
Federal Way_Washington;4347;96757;22
Fishers_Indiana;2683;90127;34
Flagstaff_Arizona;1119;71459;64
Flint_Michigan;2914;97386;33
Florissant_Missouri;4122;51776;13
Flower Mound_Texas;1777;73547;41
Folsom_California;352;77271;22
Fontana_California;4941;209665;42
Fort Collins_Colorado;3025;164207;54
Fort Lauderdale_Florida;5141;178752;35
Fort Myers_Florida;1931;77146;40
Fort Smith_Arkansas;1422;88133;62
Fort Wayne_Indiana;2391;264488;111
Fort Worth_Texas;2513;854113;340
Fountain Valley_California;6267;56529;9
Franklin_Tennessee;1814;74794;41
Frederick_Maryland;3186;7006;22
Fremont_California;301;233136;77
Fresno_California;4663;522053;112
Frisco_Texas;2648;163656;62
Fullerton_California;6296;140721;22
Gainesville_Florida;2147;131591;61
Gaithersburg_Maryland;6645;67776;10
Galveston_Texas;1226;5055;41
Garden Grove_California;9747;174858;18
Gardena_California;103;60048;6
Garland_Texas;4116;234943;57
Gary_Indiana;1532;76424;50
Gastonia_North Carolina;1496;75536;51
Georgetown_Texas;1403;6714;48
Gilbert_Arizona;3489;237133;68
Gilroy_California;341;55069;16
Glendale_Arizona;41;245895;60
Glendale_California;6595;200831;30
Glendora_California;2674;51851;19
Goodyear_Arizona;403;77258;191
Grand Forks_North Dakota;2881;57339;20
Grand Island_Nebraska;1813;51517;28
Grand Junction_Colorado;1619;61881;38
Grand Prairie_Texas;2645;190682;72
Grand Rapids_Michigan;4424;196445;44
Grapevine_Texas;1628;51971;32
Great Falls_Montana;2716;59178;22
Greeley_Colorado;2234;10399;47
Green Bay_Wisconsin;2312;105139;45
Greensboro_North Carolina;2269;287027;127
Greenville_North Carolina;2644;91495;35
Greenville_South Carolina;2353;67453;29
Greenwood_Indiana;2663;56545;21
Gresham_Oregon;4807;111523;23
Gulfport_Mississippi;1297;72076;56
Hamilton_Ohio;2876;62127;22
Hammond_Indiana;3386;77134;23
Hampton_Virginia;2634;13541;51
Hanford_California;3348;55547;17
Harlingen_Texas;1646;65539;40
Harrisonburg_Virginia;3047;53078;17
Hartford_Connecticut;7091;123243;17
Haverhill_Massachusetts;1907;62873;33
Hawthorne_California;14479;88031;6
Hayward_California;3507;158937;45
Hemet_California;3026;84281;28
Hempstead_New York;15096;55555;4
Henderson_Nevada;2719;292969;108
Hendersonville_Tennessee;1819;5705;31
Hesperia_California;1282;93724;73
Hialeah_Florida;1102;236387;21
High Point_North Carolina;2067;111223;54
Highland_California;2929;54939;19
Hillsboro_Oregon;44;105164;24
Hoboken_New Jersey;42484;54379;1
Hoffman Estates_Illinois;2487;51738;21
Hollywood_Florida;5553;151998;27
Homestead_Florida;4491;67996;15
Hoover_Alabama;1802;84978;47
Houston_Texas;3842;2303482;600
Huntersville_North Carolina;1384;54839;40
Huntington Beach_California;7501;200652;27
Huntington Park_California;19561;58879;3
Huntsville_Alabama;924;193079;209
Idaho Falls_Idaho;2694;60211;22
Independence_Missouri;1509;11703;78
Indianapolis_Indiana;2366;855164;361
Indio_California;3032;88488;29
Inglewood_California;122;110654;9
Iowa City_Iowa;2975;74398;25
Irvine_California;4025;266122;66
Irving_Texas;3555;238289;67
Jackson_Mississippi;1523;169148;111
Jackson_Tennessee;1247;67005;54
Jacksonville_Florida;1179;880619;747
Jacksonville_North Carolina;1457;67784;47
Janesville_Wisconsin;1895;64159;34
Jersey City_New Jersey;1786;264152;15
Johns Creek_Georgia;2729;83873;31
Johnson City_Tennessee;1553;66677;43
Joliet_Illinois;2387;148262;62
Jonesboro_Arkansas;938;74889;80
Joplin_Missouri;1468;52195;36
Jupiter_Florida;2972;63813;21
Kalamazoo_Michigan;3079;75984;25
Kansas City_Kansas;1216;151709;125
Kansas City_Missouri;1529;48142;315
Kenner_Louisiana;4512;67089;15
Kennewick_Washington;2988;80454;27
Kenosha_Wisconsin;37;99631;27
Kent_Washington;4454;127514;29
Kentwood_Michigan;2473;51689;21
Kettering_Ohio;2961;55306;19
Killeen_Texas;2676;1434;54
Kingsport_Tennessee;106;52806;50
Kirkland_Washington;8128;87701;11
Kissimmee_Florida;3274;69369;21
Knoxville_Tennessee;189;186239;99
Kokomo_Indiana;3124;57799;19
La Crosse_Wisconsin;2539;52109;21
La Habra_California;8367;61664;7
La Mesa_California;6602;59948;9
Lafayette_Indiana;2588;71782;28
Lafayette_Louisiana;2592;127626;49
Laguna Niguel_California;4405;65328;15
Lake Charles_Louisiana;1827;76848;42
Lake Elsinore_California;1773;64205;36
Lake Forest_California;4671;8324;18
Lake Havasu City_Arizona;121;53743;44
Lakeland_Florida;163;10642;65
