"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
32,003,007600,3162,320030076003162,Block 3162,G5040,R,,,S,0,1739783,+36.5094005,-114.3361448
32,003,007600,3036,320030076003036,Block 3036,G5040,R,,,S,0,120307,+36.7898409,-114.1051767
32,003,005615,1027,320030056151027,Block 1027,G5040,R,,,S,0,8491,+36.7908416,-114.0960438
32,003,005613,4024,320030056134024,Block 4024,G5040,R,,,S,217372017,30844,+36.4652559,-114.5372885
32,003,005613,4191,320030056134191,Block 4191,G5040,R,,,S,0,1545720,+36.1302068,-114.7432650
32,003,007600,3217,320030076003217,Block 3217,G5040,R,,,S,0,88881,+36.7685393,-114.1540538
32,003,005703,2011,320030057032011,Block 2011,G5040,R,,,S,0,408651,+35.9907101,-114.7405677
32,003,007600,1013,320030076001013,Block 1013,G5040,R,,,S,0,196861,+36.7996378,-114.0632145
32,003,005615,1022,320030056151022,Block 1022,G5040,R,,,S,0,56616,+36.7883733,-114.1150567
32,003,007600,3230,320030076003230,Block 3230,G5040,R,,,S,0,36085,+36.7837898,-114.1277700
32,003,007600,3234,320030076003234,Block 3234,G5040,R,,,S,0,2470,+36.7908165,-114.0927750
32,003,005902,1582,320030059021582,Block 1582,G5040,R,,,S,0,1596,+36.6471962,-114.6478438
32,003,007600,2026,320030076002026,Block 2026,G5040,R,,,S,35178609,61493,+36.6402126,-114.4710265
32,003,003314,2004,320030033142004,Block 2004,G5040,U,47995,U,S,4779012,8791,+36.3263301,-115.2578894
32,003,007600,3118,320030076003118,Block 3118,G5040,R,,,S,0,315061,+36.5445670,-114.3316277
32,003,005613,4232,320030056134232,Block 4232,G5040,R,,,S,213,38505888,+36.1215442,-114.8571133
32,003,000101,1000,320030001011000,Block 1000,G5040,U,47995,U,S,357768,16683,+36.1790576,-115.1833817
32,003,005705,1052,320030057051052,Block 1052,G5040,R,,,S,14885912,122115,+35.0728443,-114.6302523
32,003,005705,2009,320030057052009,Block 2009,G5040,R,,,S,0,31975,+35.0060094,-114.6356937
32,003,007600,3155,320030076003155,Block 3155,G5040,R,,,S,0,7392722,+36.1416333,-114.3583328
32,003,005703,2031,320030057032031,Block 2031,G5040,R,,,S,0,264312,+35.8359619,-114.6998533
32,003,005702,3005,320030057023005,Block 3005,G5040,R,,,S,0,388578,+35.1000155,-114.6466916
32,003,005607,3002,320030056073002,Block 3002,G5040,R,,,S,0,10461,+36.7955413,-114.0753294
32,003,005613,4231,320030056134231,Block 4231,G5040,R,,,S,0,192183,+36.1279036,-114.8652927
32,003,005437,1014,320030054371014,Block 1014,G5040,R,,,S,1063704,16485,+36.1109265,-114.9316781
