GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1500000US320030005171,320030005171,"Block Group 1, Census Tract 5.17, Clark County, Nevada",1624,573
1500000US320030005172,320030005172,"Block Group 2, Census Tract 5.17, Clark County, Nevada",1478,372
1500000US320030005173,320030005173,"Block Group 3, Census Tract 5.17, Clark County, Nevada",1151,426
1500000US320030005174,320030005174,"Block Group 4, Census Tract 5.17, Clark County, Nevada",734,251
1500000US320030005181,320030005181,"Block Group 1, Census Tract 5.18, Clark County, Nevada",477,200
1500000US320030005182,320030005182,"Block Group 2, Census Tract 5.18, Clark County, Nevada",923,396
1500000US320030005183,320030005183,"Block Group 3, Census Tract 5.18, Clark County, Nevada",1947,592
1500000US320030005184,320030005184,"Block Group 4, Census Tract 5.18, Clark County, Nevada",2058,592
1500000US320030005185,320030005185,"Block Group 5, Census Tract 5.18, Clark County, Nevada",559,386
1500000US320030005191,320030005191,"Block Group 1, Census Tract 5.19, Clark County, Nevada",877,383
1500000US320030005192,320030005192,"Block Group 2, Census Tract 5.19, Clark County, Nevada",629,222
1500000US320030005193,320030005193,"Block Group 3, Census Tract 5.19, Clark County, Nevada",2093,433
1500000US320030005194,320030005194,"Block Group 4, Census Tract 5.19, Clark County, Nevada",915,402
1500000US320030005201,320030005201,"Block Group 1, Census Tract 5.20, Clark County, Nevada",933,184
1500000US320030005202,320030005202,"Block Group 2, Census Tract 5.20, Clark County, Nevada",1137,258
1500000US320030005211,320030005211,"Block Group 1, Census Tract 5.21, Clark County, Nevada",740,223
1500000US320030005212,320030005212,"Block Group 2, Census Tract 5.21, Clark County, Nevada",865,268
1500000US320030005213,320030005213,"Block Group 3, Census Tract 5.21, Clark County, Nevada",834,251
1500000US320030005214,320030005214,"Block Group 4, Census Tract 5.21, Clark County, Nevada",687,245
1500000US320030005221,320030005221,"Block Group 1, Census Tract 5.22, Clark County, Nevada",643,213
1500000US320030005222,320030005222,"Block Group 2, Census Tract 5.22, Clark County, Nevada",1197,305
1500000US320030005223,320030005223,"Block Group 3, Census Tract 5.22, Clark County, Nevada",703,190
1500000US320030005231,320030005231,"Block Group 1, Census Tract 5.23, Clark County, Nevada",1601,230
1500000US320030005232,320030005232,"Block Group 2, Census Tract 5.23, Clark County, Nevada",915,263
1500000US320030005241,320030005241,"Block Group 1, Census Tract 5.24, Clark County, Nevada",604,165
1500000US320030005242,320030005242,"Block Group 2, Census Tract 5.24, Clark County, Nevada",463,142
1500000US320030005243,320030005243,"Block Group 3, Census Tract 5.24, Clark County, Nevada",897,203
1500000US320030005251,320030005251,"Block Group 1, Census Tract 5.25, Clark County, Nevada",914,197
1500000US320030005252,320030005252,"Block Group 2, Census Tract 5.25, Clark County, Nevada",713,233
1500000US320030005253,320030005253,"Block Group 3, Census Tract 5.25, Clark County, Nevada",800,214
